speaker,text
01_LYNN,"Twenty-eight horses, you know. I mean, Jesus, that would be a th- nine hundred dollars, just like that. I mean, could you imagine. So, w- you know, like, a lot of people, that have a lot of horses and stuff, and that they're riding a lot, they'll just, let the college kids do em. For em you know. They're taking the risk, of having their horse get lame, but, It really never happens, cause we have our s- instructor right there, telling us, this is what you do. And it's not like, there's a person that's just gung ho, and goes and just, trims their feet, and puts the shoe on, you know, you d- you d- you can't do that. And so we have our instructor right there, and we asked a million questions, all the time I mean, he e-... he just runs around... everywhere... you know... so it's uh. But uh, What was I gonna say... uh Oh, and it's really tiring though. And it uh... you know like, you get so-. I've only done like, well, at the end of the year, now see, I took the second half of the course. And, uh right now, I've probably, only shod about, five horses. Trimmed a lot of em. And you know what we start out with. This is the grossest of everything."
01_LENO,What.
01_LYNN,"We start out, with, dead horse hooves. I mean, uh uh you know, the the canneries, you know and stuff you know. The people that... that... kill the horses for meat and stuff. You know they have all these legs and stuff. And. I don't know, everybody uh."
01_LENO,"I thought they used the the horsehooves in for gelatin, That's not so."
01_LYNN,"You know, I think they do, I think a lot of times, but, then they, they probably use em for everything-. I don't know what all they use em for. But anyway, we get these horse hooves, from this one cannery, they... they have to go, a long ways to go get em, like back East somewhere, to get these horse hooves. For the college. They go back uh East, and they get em... and they freeze em you know. So we have this frozen horse hoof, that we have to start out on, cause you don't want to cripple up a really good horse, and like, my first hoof, that horse would have been, lame, like crazy. But, it was just, and, oh, God, it's so gross, because, sometimes if you get one that's been thawed out a little bit, they start really stinking and stuff. Oh, it's the grossest thing. Oh, it's just so icky. I mean, you have this piece of horse. I mean this leg that's, oh, it's just gross. And like in some of em... blood will spurt out, you know, and I mean, oh. It's nothing. SM it's the grossest thing SM. And that's why... that's probably why they have to make that class mandatory, because at the beginning of the year, it's just the... it's the pits. But once you get into it, it's the funnest thing and, you know, it's really interesting, to do stuff like that. But, I would have never got into that class, if... there's no way, if I didn't have to have it, there's no way. I mean, I heard everybody saying um-... you know, like the people that took the class before, talking about, Oh, you have to do this, you have to do that, there's dead horse hooves, you know you gotta, and they stink, and all this other stuff, and I was just going, oh my God, I'm never. I don't want to take that class... so maybe I'll wait till next year, and then I thought, no, I'll get it out of the way now. And then once I got into it, geez, I wanna take the second half of it, it was just really interesting to me, you know. But, at first it was kind of a bummer. But, I'm glad I took it. Really glad. It pays off. Especially, uh you know, twelve bucks, for a trim. I mean that's twelve bucks, every time I can go out, and trim my own horse's hooves."
01_LENO,Right.
01_LYNN,"You know, and I wouldn't trust myself to do it, with, a horse that I was really using a lot, or anything, but the ones that are standing around, that's still twelve dollars, you know, I mean whether the horse being used a lot or not, that's twelve bucks... and, shoot, I can do those, you know. But, I always have, anybody. I always have somebody that really knows what they're doing, for the horses that I'm really really using. But anyway, I wanna wait until the morning... to do that... because, It's just, too hot in the afternoon, to try to sit out there. I mean you can get, just, exhausted. Anyway, I was gonna tell you about that uh-... the girl, you know, there isn't mary- very many, ferrier girls you know. And her heart. That do this. This summer I met one. Jorgensen's, they have one shoer, that comes to their house, all the time, they've had him for years and years and years. And I guess like in Minnesota it's real wet, and stuff you know. So like, they really have to watch their shoes, for not coming off, because the hoof wall, is so much softer. It's like, when you're down there, your hands are softer and everything you know, and they're not as dry or anything. When you get back here, we have dry hooves... we have to watch out for like uh, like the hooves being too dry... we have to put ointment on em and stuff. The-. Back there they're too wet. Not this time of the year, because, you know, they've had a dry year, but, usually they're too wet, and that-... that shoe can just pull right off, because it's just, the hoof wall is so soft."
01_LENO,Yeah.
01_LYNN,"It seems weird, that that's like that..."
01_LENO,<XX>.
